transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000417857	Spleen	3.536	4.588	1.075	1.29755619564	18.602
ENST00000417857	Brain - Hippocampus	0.645	0.837	0.088	1.29657731975	3.186
ENST00000417857	Heart - Left Ventricle	1.717	2.262	0.793	1.31780899508	9.709
ENST00000417857	Brain - Cortex	0.326	0.478	0.000	1.46784806863	1.732
ENST00000417857	Muscle - Skeletal	1.224	1.490	0.671	1.21699217197	5.799
ENST00000417857	Brain - Spinal cord (cervical c-1)	1.124	1.269	0.691	1.12930341501	4.895
ENST00000417857	Uterus	7.402	7.331	4.637	0.990363156067	25.274
ENST00000417857	Brain - Nucleus accumbens (basal ganglia)	0.407	0.592	0.000	1.45436763057	2.216
ENST00000417857	Brain - Caudate (basal ganglia)	0.455	0.671	0.000	1.47608102052	2.449
ENST00000417857	Minor Salivary Gland	4.143	4.381	2.431	1.05740590092	16.119
ENST00000417857	Artery - Aorta	7.422	7.344	4.932	0.98946663901	28.221
ENST00000417857	Whole Blood	1.897	2.358	0.980	1.24301589326	9.473
ENST00000417857	Kidney - Cortex	1.606	2.193	0.667	1.36556612569	7.434
ENST00000417857	Nerve - Tibial	6.049	5.602	4.765	0.926039321083	21.508
ENST00000417857	Brain - Frontal Cortex (BA9)	0.399	0.569	0.000	1.42641234927	2.093
ENST00000417857	Adipose - Visceral (Omentum)	5.870	5.590	4.139	0.952212064554	21.637
ENST00000417857	Adrenal Gland	3.745	4.457	1.365	1.18995231296	16.303
ENST00000417857	Lung	4.712	5.421	2.260	1.15042947597	20.986
ENST00000417857	Cells - Transformed fibroblasts	5.784	5.926	3.208	1.02452130118	22.829
ENST00000417857	Artery - Tibial	5.578	5.446	3.868	0.976218467679	21.027
ENST00000417857	Colon - Sigmoid	3.754	5.013	1.584	1.33556040518	18.389
ENST00000417857	Pituitary	0.276	0.559	0.000	2.02454104223	2.132
ENST00000417857	Brain - Substantia nigra	0.628	0.820	0.214	1.30591685242	3.428
ENST00000417857	Cells - EBV-transformed lymphocytes	2.095	2.115	1.549	1.00987031057	8.279
ENST00000361357	Thyroid	20.256	4.326	19.765	0.213571223443	32.094
ENST00000361357	Testis	24.334	2.867	24.509	0.117811114988	31.400
ENST00000361357	Brain - Anterior cingulate cortex (BA24)	6.436	1.540	6.654	0.239289585937	10.293
ENST00000361357	Skin - Not Sun Exposed (Suprapubic)	17.003	3.676	16.369	0.216171701105	26.567
ENST00000361357	Ovary	25.211	4.538	25.317	0.179999013494	35.366
ENST00000361357	Vagina	20.389	6.212	19.947	0.304662535821	36.009
ENST00000361357	Heart - Atrial Appendage	20.306	4.641	20.223	0.228561607605	33.001
ENST00000361357	Esophagus - Muscularis	30.764	6.520	30.149	0.21194332621	48.373
ENST00000361357	Brain - Cerebellar Hemisphere	16.711	2.429	16.801	0.145374207456	22.442
ENST00000361357	Small Intestine - Terminal Ileum	18.786	6.998	18.555	0.372510113521	35.291
ENST00000361357	Breast - Mammary Tissue	25.637	5.024	25.550	0.19595251353	39.438
ENST00000361357	Stomach	16.900	10.351	12.568	0.612523679855	44.021
ENST00000361357	Brain - Cerebellum	17.968	2.167	18.084	0.120626399709	23.438
